지역,대통합민주신당 정동영,한나라당 이명박,민주노동당 권영길,민주당 이인제,창조한국당 문국현,참주인연합 정근모,겅제공화당 허경영,새시대참사람연합 전관,한국사회당 금민,무소속 이회창
경기 고양시일산동구,25295,63571,2838,383,9055,69,393,26,73,13833
경기 고양시일산서구,29467,72844,3260,470,10042,56,407,20,82,15617
경기 과천시,6308,18228,868,82,2603,27,117,8,16,3736
경기 의왕시,15670,33605,1824,340,5431,48,282,10,38,9216
경기 구리시,20746,49370,2338,472,6259,41,499,14,45,11210
경기 남양주시,50520,119873,5370,1289,14217,150,1180,56,121,25954
경기 오산시,14370,28666,2150,463,4462,35,296,12,50,9304
경기 화성시,34968,81713,6170,1116,10972,84,781,39,112,22891
경기 시흥시,45012,72523,4810,1108,10577,105,848,26,98,22013
경기 군포시,32262,63844,4204,651,11661,72,601,26,75,19311
경기 하남시,15325,35272,1337,354,4135,35,321,16,36,8493
경기 파주시,30084,76460,3812,902,8497,94,615,67,86,16782
경기 여주군,9214,27822,1601,511,2739,32,244,27,53,7193
경기 이천시,15257,47323,2451,719,5428,63,414,34,65,11390
경기 용인시처인구,20100,46632,2271,729,5375,88,449,36,72,11629
경기 용인시수지구,24687,85920,2589,349,10002,86,442,16,53,16058
경기 용인시기흥구,29436,77906,3203,503,11149,118,572,16,57,17072
경기 안성시,16282,36971,3097,685,4502,80,429,34,76,11333
경기 김포시,20342,54078,2439,623,5762,60,418,20,38,12079
경기 광주시,23821,58125,2207,737,6120,65,477,36,65,12197
경기 포천시,14971,40396,2098,704,3720,56,407,46,57,8234
경기 연천군,5441,13072,678,267,1111,25,125,19,20,2865
경기 양평군,7463,28550,1080,473,2171,61,225,21,39,5451
경기 가평군,5462,16995,708,335,1378,38,190,32,29,3669
강원 춘천시,22632,66113,4352,792,9591,95,757,51,106,20698
강원 원주시,25195,68001,6322,990,8623,133,905,47,188,23042
강원 강릉시,15492,57934,3294,534,6288,71,1066,47,107,19740
강원 동해시,7256,23942,1513,262,2594,30,236,11,42,9302
강원 삼척시,6030,18696,1296,268,1621,30,171,22,51,8121
강원 태백시,4050,12227,964,188,1344,8,96,6,27,5280
강원 정선군,4772,9705,978,286,874,25,106,29,44,4535
강원 속초시,6597,20765,1183,201,2169,18,261,26,21,5553
강원 고성군,3053,9058,508,153,702,13,100,10,13,2373
강원 양양군,2985,8133,540,153,694,13,118,7,16,2691
강원 인제군,4193,7640,591,207,985,18,118,41,16,2571
강원 홍천군,8539,17210,1536,514,1706,36,303,30,53,5303
강원 횡성군,5168,11162,1220,298,1084,24,190,22,44,3766
강원 영월군,4922,10435,778,301,935,27,125,21,33,4059
강원 평창군,5198,10828,799,239,1072,25,190,21,38,3974
강원 화천군,2748,5827,528,202,569,16,88,15,16,1698
강원 양구군,2794,5113,511,193,579,12,96,13,15,1714
강원 철원군,5044,13215,1216,304,1122,21,137,17,19,2682
청주시상당구,24361,46133,3349,948,7176,81,562,31,82,28669
청주시흥덕구,36408,66251,5506,1343,11728,93,764,45,164,42510
충북 충주시,20282,45089,2972,1097,5201,63,597,41,60,18583
충북 제천시,13123,30743,2620,643,3290,42,377,38,77,15081
충북 단양군,3873,7552,633,225,785,23,114,11,21,3957
