지역,새누리당 박근혜,민주통합당 문재인,무소속 박종선,무소속 김소연,무소속 강지원,무소속 김순자
경기 고양시덕양구,114871.0,118515.0,63.0,120.0,477.0,227.0
경기 고양시일산동구,80535.0,85504.0,41.0,104.0,336.0,127.0
경기 고양시일산서구,81992.0,88785.0,41.0,87.0,342.0,148.0
경기 과천시,22507.0,21923.0,10.0,37.0,165.0,46.0
경기 의왕시,45541.0,48412.0,13.0,53.0,218.0,82.0
경기 구리시,56748.0,56219.0,27.0,47.0,209.0,112.0
경기 남양주시,171230.0,161920.0,85.0,142.0,524.0,323.0
경기 오산시,52301.0,53507.0,26.0,67.0,166.0,129.0
경기 화성시,140538.0,146338.0,75.0,167.0,472.0,329.0
경기 시흥시,102267.0,112012.0,69.0,102.0,360.0,217.0
경기 군포시,80722.0,94255.0,44.0,100.0,336.0,156.0
경기 하남시,47676.0,40221.0,23.0,22.0,154.0,90.0
경기 파주시,114672.0,106323.0,68.0,114.0,348.0,326.0
경기 여주군,40504.0,21766.0,27.0,45.0,101.0,166.0
경기 이천시,66241.0,45996.0,55.0,63.0,190.0,171.0
경기 용인시처인구,67598.0,49828.0,44.0,63.0,215.0,157.0
경기 용인시수지구,101487.0,93337.0,39.0,72.0,402.0,125.0
경기 용인시기흥구,104957.0,110907.0,28.0,82.0,421.0,155.0
경기 안성시,57656.0,43967.0,35.0,52.0,183.0,172.0
경기 김포시,88962.0,74859.0,41.0,68.0,298.0,156.0
경기 광주시,84388.0,72299.0,45.0,67.0,214.0,163.0
경기 포천시,56633.0,31751.0,40.0,40.0,141.0,181.0
경기 연천군,17989.0,9359.0,23.0,20.0,73.0,73.0
경기 양평군,40862.0,20857.0,39.0,51.0,125.0,190.0
경기 가평군,24987.0,11696.0,56.0,38.0,98.0,143.0
강원 춘천시,93414.0,69365.0,60.0,104.0,276.0,245.0
강원 원주시,105702.0,75943.0,55.0,110.0,280.0,282.0
강원 강릉시,85045.0,43750.0,41.0,50.0,200.0,233.0
강원 동해시,36139.0,18511.0,18.0,23.0,68.0,99.0
강원 삼척시,28849.0,14874.0,32.0,72.0,80.0,216.0
강원 태백시,18850.0,9935.0,10.0,11.0,34.0,51.0
강원 정선군,15188.0,8610.0,11.0,6.0,45.0,126.0
강원 속초시,29651.0,17671.0,16.0,19.0,66.0,61.0
강원 고성군,12689.0,6285.0,11.0,9.0,44.0,49.0
강원 양양군,12007.0,5869.0,9.0,7.0,19.0,45.0
강원 인제군,12156.0,7320.0,11.0,11.0,38.0,93.0
강원 홍천군,26715.0,15201.0,18.0,20.0,75.0,141.0
강원 횡성군,17876.0,9502.0,13.0,19.0,50.0,116.0
강원 영월군,15515.0,9021.0,12.0,16.0,55.0,110.0
강원 평창군,16406.0,9381.0,6.0,8.0,53.0,100.0
강원 화천군,9838.0,5139.0,20.0,11.0,45.0,49.0
강원 양구군,8547.0,4957.0,3.0,13.0,33.0,41.0
강원 철원군,18289.0,9536.0,10.0,15.0,53.0,57.0
충북 청주시상당구,76695.0,64194.0,49.0,71.0,173.0,168.0
충북 청주시흥덕구,124308.0,119523.0,90.0,129.0,348.0,297.0
충북 충주시,73561.0,48264.0,45.0,70.0,212.0,273.0
충북 제천시,50284.0,31682.0,32.0,42.0,151.0,195.0
충북 단양군,12957.0,6510.0,12.0,8.0,51.0,105.0
충북 청원군,46968.0,43359.0,43.0,52.0,149.0,262.0
충북 영동군,20397.0,11169.0,20.0,35.0,57.0,156.0
충북 보은군,13783.0,8261.0,17.0,13.0,56.0,129.0
충북 옥천군,21799.0,11691.0,21.0,36.0,64.0,189.0
충북 음성군,30459.0,21825.0,40.0,34.0,108.0,160.0
충북 진천군,20614.0,15560.0,18.0,25.0,59.0,106.0
충북 괴산군,15442.0,8646.0,16.0,18.0,61.0,147.0
충북 증평군,11175.0,8223.0,7.0,9.0,22.0,54.0
충남 천안시서북구,87555.0,87706.0,53.0,97.0,255.0,198.0
충남 천안시동남구,78289.0,65604.0,47.0,49.0,213.0,247.0
충남 공주시,39883.0,30141.0,39.0,30.0,109.0,218.0
충남 보령시,38636.0,23493.0,33.0,34.0,108.0,233.0
충남 아산시,81388.0,72189.0,51.0,101.0,232.0,237.0
충남 서산시,53072.0,38595.0,40.0,74.0,160.0,281.0
충남 태안군,24128.0,13435.0,19.0,31.0,52.0,197.0
충남 금산군,20470.0,12762.0,15.0,21.0,75.0,182.0
충남 논산시,39225.0,34402.0,51.0,41.0,147.0,236.0
충남 계룡시,13572.0,9934.0,4.0,15.0,48.0,28.0
충남 당진시,50429.0,35909.0,33.0,64.0,130.0,211.0
충남 부여군,28725.0,16461.0,55.0,52.0,130.0,209.0
충남 서천군,20671.0,15102.0,20.0,25.0,83.0,190.0
충남 홍성군,32170.0,19514.0,20.0,24.0,92.0,228.0
충남 청양군,13490.0,6989.0,17.0,15.0,54.0,137.0
충남 예산군,37225.0,15394.0,19.0,15.0,88.0,166.0
전북 전주시완산구,27095.0,193995.0,48.0,116.0,362.0,116.0
전북 전주시덕진구,20283.0,151196.0,39.0,117.0,268.0,108.0
전북 군산시,24862.0,138173.0,57.0,68.0,312.0,162.0
전북 익산시,24639.0,156065.0,99.0,82.0,304.0,189.0
전북 정읍시,8479.0,63828.0,26.0,33.0,252.0,153.0
전북 남원시,6583.0,46681.0,57.0,54.0,205.0,138.0
전북 김제시,8185.0,49430.0,32.0,25.0,161.0,106.0
전북 완주군,6926.0,45422.0,15.0,68.0,175.0,118.0
전북 진안군,2764.0,14262.0,11.0,15.0,105.0,80.0
전북 무주군,3470.0,12290.0,13.0,10.0,90.0,73.0
전북 장수군,2236.0,12567.0,6.0,19.0,82.0,64.0
전북 임실군,2386.0,16884.0,14.0,12.0,140.0,83.0
전북 순창군,2093.0,16797.0,10.0,27.0,124.0,69.0
전북 고창군,4328.0,32729.0,23.0,31.0,309.0,122.0
전북 부안군,5986.0,30003.0,30.0,25.0,177.0,109.0
전남 목포시,11971.0,128448.0,22.0,75.0,242.0,145.0
전남 여수시,15662.0,159415.0,119.0,109.0,392.0,250.0
전남 순천시,14638.0,149610.0,49.0,61.0,269.0,146.0
전남 나주시,4984.0,51150.0,62.0,41.0,242.0,159.0
전남 광양시,12918.0,74467.0,24.0,28.0,197.0,98.0
전남 담양군,3084.0,28099.0,19.0,27.0,192.0,81.0
전남 장성군,3532.0,25567.0,22.0,25.0,147.0,81.0
전남 곡성군,2255.0,17810.0,14.0,10.0,127.0,85.0
전남 구례군,2230.0,15328.0,13.0,11.0,59.0,47.0
전남 고흥군,5193.0,41139.0,29.0,31.0,284.0,171.0
전남 보성군,3470.0,26054.0,31.0,22.0,163.0,107.0
전남 화순군,3685.0,37716.0,64.0,30.0,241.0,118.0
전남 장흥군,2808.0,23468.0,21.0,18.0,175.0,82.0
전남 강진군,3023.0,21316.0,25.0,16.0,108.0,60.0
전남 완도군,3152.0,30236.0,9.0,26.0,213.0,108.0
전남 해남군,4747.0,41882.0,55.0,45.0,240.0,130.0
전남 진도군,2073.0,18052.0,14.0,17.0,134.0,97.0
전남 영암군,3965.0,31577.0,28.0,24.0,107.0,86.0
전남 무안군,4230.0,41849.0,42.0,58.0,167.0,123.0
전남 영광군,3768.0,30835.0,23.0,23.0,297.0,120.0
전남 함평군,1958.0,20984.0,19.0,21.0,145.0,88.0
전남 신안군,2950.0,23345.0,28.0,41.0,197.0,105.0
경북 포항시북구,131547.0,33470.0,48.0,54.0,177.0,302.0
경북 포항시남구,121186.0,32833.0,43.0,52.0,193.0,293.0
경북 울릉군,5033.0,1207.0,2.0,2.0,7.0,21.0
경북 경주시,132579.0,34357.0,59.0,99.0,230.0,435.0
경북 김천시,73115.0,14072.0,30.0,41.0,96.0,299.0
경북 안동시,84799.0,21028.0,67.0,55.0,156.0,486.0
경북 구미시,197062.0,47485.0,52.0,104.0,185.0,372.0
경북 영주시,56360.0,15493.0,32.0,33.0,88.0,269.0
경북 영천시,54748.0,11372.0,27.0,28.0,80.0,228.0
경북 상주시,58560.0,10254.0,26.0,34.0,89.0,462.0
경북 문경시,41762.0,7609.0,24.0,27.0,69.0,226.0
경북 예천군,26663.0,4564.0,112.0,47.0,55.0,261.0
경북 경산시,118865.0,30881.0,124.0,120.0,280.0,322.0
경북 청도군,25625.0,4830.0,16.0,16.0,34.0,175.0
경북 고령군,20030.0,3437.0,14.0,17.0,39.0,146.0
경북 성주군,26511.0,4077.0,12.0,13.0,36.0,177.0
경북 칠곡군,57485.0,13560.0,14.0,29.0,68.0,158.0
경북 군위군,15457.0,2126.0,4.0,9.0,20.0,105.0
경북 의성군,34294.0,5167.0,23.0,15.0,44.0,284.0
경북 청송군,15054.0,2946.0,16.0,8.0,19.0,146.0
경북 영양군,9818.0,2247.0,9.0,8.0,20.0,109.0
경북 영덕군,23816.0,3314.0,11.0,12.0,25.0,161.0
경북 봉화군,18408.0,3989.0,37.0,38.0,60.0,261.0
경북 울진군,26387.0,6341.0,8.0,12.0,49.0,188.0
경남 창원시의창구,93834.0,60126.0,78.0,83.0,216.0,215.0
경남 창원시성산구,82487.0,67332.0,82.0,113.0,231.0,149.0
경남 창원시마산합포구,82970.0,34740.0,72.0,51.0,144.0,224.0
경남 창원시마산회원구,91940.0,45353.0,76.0,52.0,154.0,182.0
경남 창원시진해구,68464.0,37511.0,60.0,57.0,122.0,124.0
경남 진주시,140404.0,66038.0,152.0,105.0,294.0,498.0
경남 통영시,56873.0,24216.0,53.0,42.0,101.0,253.0
경남 고성군,25076.0,9673.0,70.0,27.0,53.0,217.0
경남 사천시,48033.0,21237.0,59.0,35.0,81.0,254.0
경남 김해시,150925.0,137372.0,144.0,112.0,310.0,377.0
경남 밀양시,47709.0,20591.0,76.0,42.0,92.0,243.0
경남 거제시,71757.0,57003.0,61.0,82.0,165.0,288.0
경남 의령군,13848.0,4904.0,50.0,11.0,43.0,199.0
경남 함안군,28741.0,12748.0,56.0,27.0,68.0,167.0
경남 창녕군,29793.0,10046.0,50.0,19.0,54.0,238.0
경남 양산시,93167.0,64467.0,91.0,61.0,170.0,199.0
경남 하동군,21848.0,11193.0,70.0,50.0,56.0,248.0
경남 남해군,21551.0,9756.0,75.0,17.0,51.0,186.0
경남 함양군,18736.0,7014.0,40.0,26.0,59.0,250.0
경남 산청군,16979.0,5996.0,91.0,30.0,51.0,189.0
경남 거창군,28726.0,10466.0,61.0,22.0,75.0,244.0
경남 합천군,25313.0,7114.0,70.0,20.0,64.0,382.0
제주 제주시,119563.0,119622.0,94.0,164.0,473.0,570.0
제주 서귀포시,46621.0,41613.0,54.0,76.0,194.0,291.0
