지역,선거인수,투표수,한나라당 이회창,새천년민주당 노무현,하나로국민연합 이한동,민주노동당 권영길,사회당 김영규,호국당 김길수,계,무효,기권
경기 부천시오정구,132962,87492,32014,51203,247,3241,67,152,86924,568,45470
경기 광명시,243034,174539,68831,96739,429,7174,126,244,173543,996,68495
경기 평택시,251267,171427,74716,80307,576,13750,162,399,169910,1517,79840
경기 동두천시,53897,35863,16498,17119,367,1389,51,79,35503,360,18034
경기 양주군,100722,67840,29451,34129,619,2713,63,151,67126,714,32882
경기 안산시상록구,225413,149235,57532,83368,363,6706,107,197,148273,962,76178
경기 안산시단원구,196674,128074,49064,70948,346,6526,103,183,127170,904,68600
경기 고양시덕양구,265840,187906,83298,95339,688,7120,145,229,186819,1087,77934
경기 고양시일산구,307400,224032,109247,104866,691,7879,132,216,223031,1001,83368
경기 과천시,48738,37518,18380,17345,77,1502,31,36,37371,147,11220
경기 의왕시,90699,66761,29652,33486,177,2934,57,83,66389,372,23938
경기 구리시,134699,95098,42439,47872,340,3658,68,153,94530,568,39601
경기 남양주시,274490,187561,81868,95537,1150,7108,159,326,186148,1413,86929
경기 오산시,78804,53005,21518,27750,230,2960,66,127,52651,354,25799
경기 화성시,163300,109459,47339,52897,618,7009,121,313,108297,1162,53841
경기 시흥시,233569,156494,60591,87055,396,7153,112,204,155511,983,77075
경기 군포시,186350,137085,60085,69269,298,6509,111,142,136414,671,49265
경기 하남시,93695,65222,30251,31972,175,2254,53,108,64813,409,28473
경기 파주시,170617,115616,55417,53216,917,4457,112,251,114370,1246,55001
경기 이천시,131517,86521,39012,41032,449,4833,94,252,85672,849,44996
경기 용인시,367075,258702,124890,120714,789,10140,194,411,257138,1564,108373
경기 안성시,107571,72616,31209,35526,311,4422,90,256,71814,802,34955
경기 김포시,136023,95124,44538,45302,374,3879,90,170,94353,771,40899
경기 여주군,76526,51638,25150,22615,336,2564,56,200,50921,717,24888
경기 광주시,123506,85384,37930,43197,328,2998,88,140,84681,703,38122
경기 포천군,105416,71254,27340,33376,6631,2752,112,227,70438,816,34162
경기 연천군,38159,27394,11283,12673,1735,1185,38,120,27034,360,10765
경기 양평군,63316,44851,24799,17033,319,1700,57,174,44082,769,18465
경기 가평군,42317,30170,14848,12561,668,1385,71,129,29662,508,12147
강원 춘천시,183483,127404,64221,54187,549,6523,111,350,125941,1463,56079
강원 원주시,196592,132543,63614,58351,613,8059,190,347,131174,1369,64049
강원 강릉시,169672,113778,67497,39727,367,4530,148,222,112491,1287,55894
강원 동해시,75071,49535,29429,16989,138,2226,39,110,48931,604,25536
강원 삼척시,59109,41110,24789,13438,167,1699,39,171,40303,807,17999
강원 태백시,41781,27434,15868,9721,69,1349,35,76,27118,316,14347
강원 정선군,36635,25218,13124,10008,123,1212,33,163,24663,555,11417
강원 속초시,64321,40547,22040,16346,108,1579,40,78,40191,356,23774
강원 고성군,26047,18184,9325,7699,76,734,25,50,17909,275,7863
강원 양양군,23295,16857,8718,6972,75,710,23,69,16567,290,6438
강원 인제군,23722,17207,7674,8124,81,842,31,89,16841,366,6515
강원 홍천군,54336,37924,17127,17546,250,1969,57,239,37188,736,16412
강원 횡성군,34856,25121,10617,11965,129,1703,58,158,24630,491,9735
강원 영월군,35376,24563,11946,10557,107,1276,37,148,24071,492,10813
강원 평창군,35044,24160,11393,10471,138,1471,38,193,23704,456,10884
강원 화천군,18035,13245,5912,6214,87,743,19,66,13041,204,4790
강원 양구군,16532,12048,5229,5785,75,646,16,73,11824,224,4484
강원 철원군,37261,26682,11882,12622,254,1451,30,111,26350,332,10579
충북 청주시상당구,167037,111910,52010,52100,426,6021,119,206,110882,1028,55127
충북 청주시흥덕구,249297,165301,72771,80044,465,10411,153,289,164133,1168,83996
충북 충주시,153863,104128,44164,52722,456,5090,127,389,102948,1180,49735
충북 제천시,105123,71831,34051,31980,291,4167,95,282,70866,965,33292
충북 단양군,28891,20084,9097,9140,119,1184,29,124,19693,391,8807
충북 청원군,92246,63086,23891,34130,313,3432,93,232,62091,995,29160
충북 영동군,43368,30997,13787,14523,141,1772,36,144,30403,594,12371
충북 보은군,31883,22953,8060,12897,163,1188,37,153,22498,455,8930
충북 옥천군,45231,32392,10834,18612,220,1825,74,209,31774,618,12839
충북 음성군,63326,43092,16665,22804,229,2473,80,188,42439,653,20234
충북 진천군,43617,30023,10583,16645,149,2020,38,136,29571,452,13594
충북 괴산군,55760,38588,15131,20026,233,2148,68,258,37864,724,17172
충남 천안시,302795,197308,82814,98520,711,12847,217,473,195582,1726,105487
충남 공주시,98643,65745,25531,35380,420,2853,106,353,64643,1102,32898
충남 보령시,84853,54919,22473,27951,383,2799,102,296,54004,915,29934
충남 아산시,138120,86101,33568,43168,363,7563,112,298,85072,1029,52019
충남 금산군,48278,32135,10661,19166,177,1121,78,283,31486,649,16143
충남 연기군,60942,40618,14393,23241,240,1962,50,186,40072,546,20324
충남 논산시,122088,80247,26221,48456,523,3446,140,412,79198,1049,41841
충남 부여군,67869,46419,14825,27674,322,2428,75,312,45636,783,21450
충남 서천군,55153,37366,12765,22028,240,1439,45,234,36751,615,17787
충남 홍성군,69334,47136,22782,20970,304,1923,58,251,46288,848,22198
충남 청양군,30260,21301,9476,10077,152,876,41,176,20798,503,8959
