시도,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬"
서울특별시,470,899,28,2,5,0,1,0,0,1,1,1
서울특별시,429,540,30,2,8,1,0,0,0,0,0,0
서울특별시,615,874,29,2,8,0,1,0,1,0,0,1
서울특별시,1718,1335,74,0,10,1,0,0,3,5,0,0
서울특별시,376,434,28,0,7,0,0,0,2,1,0,1
서울특별시,573,705,31,0,14,0,0,0,1,2,0,0
서울특별시,376,472,40,0,3,0,1,0,0,0,2,0
서울특별시,1563,1408,77,0,3,0,0,0,0,0,0,1
서울특별시,202,303,14,1,3,0,0,0,0,0,1,1
서울특별시,351,555,37,1,6,0,0,0,1,0,0,0
서울특별시,377,631,31,2,5,0,0,0,1,0,0,0
서울특별시,325,383,20,0,6,0,0,0,2,0,0,2
서울특별시,1484,1206,71,0,13,0,1,1,1,2,0,0
서울특별시,679,851,49,1,9,1,0,0,3,1,0,0
서울특별시,464,513,36,1,7,0,1,2,0,1,0,0
서울특별시,753,1011,38,0,12,0,1,2,1,0,0,0
서울특별시,1375,1209,70,0,8,0,0,0,1,1,0,0
서울특별시,488,792,31,0,3,0,0,0,1,2,1,0
서울특별시,496,663,36,1,7,0,0,0,1,1,0,0
서울특별시,598,859,54,1,14,1,1,0,2,0,0,0
서울특별시,2613,1995,125,2,6,1,0,0,0,2,2,0
서울특별시,643,743,48,0,13,1,0,0,0,1,0,0
서울특별시,513,540,49,0,8,1,0,0,2,3,1,0
서울특별시,515,669,35,0,9,2,0,2,3,1,1,0
서울특별시,569,695,33,1,14,0,0,0,1,1,2,0
서울특별시,1405,1059,93,3,12,1,0,1,0,2,0,1
서울특별시,363,469,35,1,8,0,1,0,1,1,0,2
서울특별시,285,409,35,0,5,0,0,0,3,0,0,0
서울특별시,290,313,26,1,10,0,0,0,0,0,0,0
서울특별시,280,327,22,0,7,0,0,4,3,1,0,0
서울특별시,1075,850,68,1,18,2,0,1,0,5,0,0
서울특별시,536,565,42,2,11,0,0,1,2,1,0,0
서울특별시,484,625,32,2,15,0,1,1,2,5,1,1
서울특별시,2098,1388,155,3,17,3,0,1,2,2,0,3
서울특별시,317,415,22,0,6,0,0,0,2,2,1,0
서울특별시,490,422,23,0,9,0,0,0,1,0,1,1
서울특별시,613,485,41,1,8,1,0,0,1,0,0,2
서울특별시,554,695,64,0,9,1,0,0,0,2,0,0
서울특별시,457,537,51,1,6,0,0,0,0,2,3,0
서울특별시,391,443,38,1,10,0,0,2,2,1,0,1
서울특별시,2261,2291,157,2,5,1,0,0,1,3,0,1
서울특별시,658,758,72,1,12,1,0,1,1,2,1,0
서울특별시,462,809,49,1,8,0,0,1,0,0,0,2
서울특별시,361,863,40,0,3,1,0,0,4,0,0,1
서울특별시,362,722,30,0,5,0,0,1,0,0,0,0
서울특별시,1665,1499,84,2,10,0,0,1,0,0,1,1
서울특별시,637,1170,58,1,13,0,1,1,0,1,0,0
서울특별시,462,753,45,0,8,0,1,0,1,0,0,0
서울특별시,570,686,43,0,9,1,2,1,1,2,0,1
서울특별시,1700,1464,100,1,9,1,0,1,0,1,0,0
서울특별시,578,826,44,0,7,0,0,0,1,3,0,1
서울특별시,344,644,35,0,7,0,0,0,0,0,0,0
서울특별시,234,342,14,0,5,0,0,0,1,0,0,0
서울특별시,2011,1642,108,4,20,0,0,0,0,3,1,0
