지역,민주정의당 노태우,통일민주당 김영삼,평화민주당 김대중,신민주공화당 김종필,한주의통일한국당 신종일
전남 여천군,3689,559,42641,146,47
전남 순천시,5202,1101,59580,401,24
전남 구례군,2919,256,22696,95,33
전남 승주군,4569,569,47359,177,58
전남 나주시,1863,165,21739,67,13
전남 송정시,2088,240,24603,114,7
전남 광산군,2980,371,41679,182,18
전남 나주군,4207,402,57933,129,46
전남 담양군,3842,360,41402,117,47
전남 곡성군,3424,335,29221,81,39
전남 화순군,3417,312,47219,95,35
전남 보성군,5932,440,50574,150,66
전남 고흥군,8432,740,78191,141,52
전남 장흥군,3803,413,41430,124,39
전남 강진군,3855,284,36540,90,11
전남 영암군,3791,450,42467,131,25
전남 완도군,4540,412,51626,122,30
전남 해남군,6250,611,70148,141,62
전남 진도군,3780,342,31200,85,37
전남 영광군,5227,647,49149,168,52
전남 함평군,3138,300,39213,79,19
전남 장성군,3108,401,39627,139,42
경북 포항시,79932,53568,9192,5262,280
경북 경주시,38925,26376,1963,2170,246
경북 김천시,25167,13849,991,1177,116
경북 금릉군,35818,13026,719,1191,234
경북 안동시,32870,20618,1424,1337,189
경북 구미시,50633,18329,3782,4664,147
경북 영주시,25800,15775,896,799,100
경북 영풍군,26204,12530,504,666,186
경북 영천시,17268,7278,689,541,213
경북 영천군,36238,13575,705,825,599
경북 상주시,20450,7169,748,662,78
경북 상주군,48618,14619,1041,1487,316
경북 점촌시,16740,7102,600,1513,69
경북 문경군,30274,9835,832,2242,193
경북 달성군,38225,10061,1052,939,319
경북 고령군,19100,5755,391,415,144
경북 군위군,20545,5630,213,323,124
경북 선산군,30551,7222,527,1581,105
경북 의성군,48508,20193,962,1467,359
경북 안동군,39644,18513,876,1310,440
경북 청송군,21360,8273,605,325,146
경북 영덕군,29063,12064,431,481,154
경북 영양군,14864,6931,474,328,116
경북 봉화군,30118,10023,618,747,196
경북 영일군,59289,28318,2332,2187,362
경북 울릉군,6050,2414,209,147,12
경북 월성군,50317,28262,1224,2181,571
경북 경산군,52596,18380,1517,1534,550
경북 청도군,28491,12386,472,1107,359
경북 성주군,27406,8966,442,789,259
경북 칠곡군,36388,8335,1087,861,274
경북 예천군,38147,13398,823,881,215
경북 울진군,32436,11416,1415,1088,141
울산 남구,51290,50185,8053,5128,292
울산 중구,84547,81647,20380,9130,395
울산 울주군,32961,33315,2226,2437,359
경남 마산시,68434,141325,10674,5722,424
경남 진주시,45156,63113,3830,2521,294
경남 삼천포시,14133,17678,870,628,110
경남 진양군,23207,23973,715,1085,249
경남 사천군,16210,17058,866,709,209
경남 창원시,36217,61410,10141,3758,164
경남 진해시,27302,35742,3557,1864,172
경남 의창군,15470,28896,795,846,235
경남 충무시,15155,28409,1134,552,116
경남 통영군,11418,17738,238,317,283
경남 거제군,14437,59659,5524,1006,391
경남 고성군,17193,27424,667,1020,351
경남 의령군,15942,13231,399,578,199
경남 함안군,18742,22190,782,1605,239
경남 합천군,36723,14593,754,894,276
경남 밀양군,38575,39058,1403,2039,409
경남 창녕군,28815,24512,703,1250,449
경남 김해시,16475,22985,2532,1084,95
경남 양산군,35578,36903,3964,2214,244
경남 김해군,21649,31323,1307,1029,206
경남 하동군,19386,23047,1413,627,334
경남 남해군,26888,18637,1151,572,198
경남 거창군,22269,23994,1216,656,335
경남 산청군,18892,14364,539,636,238
경남 함양군,19693,14633,971,1335,301
제주 제주시,45396,29864,20896,5649,202
제주 북제주군,31017,13559,7253,2039,198
제주 서귀포시,18578,10677,10320,2102,119
제주 남제주군,25511,10744,6670,1140,164
