지역,선거인수,투표수,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일,계,무효,기권
전남 영광군,53185,46333,1161.0,43161.0,630.0,58.0,51.0,348.0,89.0,45498,835,6852
전남 함평군,36785,31288,676.0,29322.0,319.0,44.0,36.0,161.0,79.0,30637,651,5497
전남 신안군,42672,35575,936.0,33095.0,304.0,40.0,33.0,215.0,87.0,34710,865,7097
경북 포항시남구,176942,140101,87567.0,19906.0,27334.0,2390.0,134.0,131.0,430.0,137892,2209,36841
경북 포항시북구,166204,132950,91479.0,16872.0,20378.0,1688.0,166.0,112.0,386.0,131081,1869,33254
경북 울릉군,7807,6282,3609.0,597.0,1896.0,31.0,11.0,4.0,37.0,6185,97,1525
경북 경주시갑,103307,80439,47216.0,9721.0,18819.0,1827.0,212.0,96.0,546.0,78437,2002,22868
경북 경주시을,103749,82980,50757.0,9998.0,17523.0,2714.0,131.0,67.0,348.0,81538,1442,20769
경북 김천시,107871,87147,55679.0,9385.0,18150.0,780.0,210.0,135.0,709.0,85048,2099,20724
경북 안동시갑,70607,54966,32698.0,7391.0,12439.0,739.0,128.0,111.0,366.0,53872,1094,15641
경북 안동시을,65254,50994,29060.0,7356.0,11904.0,653.0,164.0,127.0,433.0,49697,1297,14260
경북 구미시갑,109918,87111,49479.0,13397.0,20667.0,2136.0,126.0,91.0,172.0,86068,1043,22807
경북 구미시을,98759,79842,48839.0,11347.0,16204.0,1341.0,145.0,97.0,432.0,78405,1437,18917
경북 영주시,96209,76887,44944.0,8434.0,20108.0,813.0,237.0,132.0,572.0,75240,1647,19322
경북 영천시,90107,69634,42016.0,10821.0,13480.0,730.0,135.0,102.0,676.0,67960,1674,20473
경북 상주시,96864,77873,46321.0,9201.0,17946.0,693.0,319.0,175.0,801.0,75456,2417,18991
경북 문경시,66641,53024,32918.0,5774.0,11901.0,404.0,191.0,103.0,491.0,51782,1242,13617
경북 예천군,48839,38685,22028.0,4991.0,9123.0,382.0,178.0,102.0,555.0,37359,1326,10154
경북 경산시,138944,107275,70866.0,14155.0,18287.0,1409.0,145.0,115.0,527.0,105504,1771,31669
경북 청도군,42942,33938,20071.0,4513.0,7232.0,302.0,95.0,65.0,434.0,32712,1226,9004
경북 고령군,29773,23085,14383.0,3502.0,3889.0,206.0,53.0,46.0,237.0,22316,769,6688
경북 성주군,40602,32417,20013.0,4685.0,5934.0,251.0,94.0,78.0,466.0,31521,896,8185
경북 군위군,25390,20449,12049.0,3137.0,3991.0,167.0,69.0,44.0,292.0,19749,700,4941
경북 칠곡군,65192,52237,31984.0,7640.0,10231.0,759.0,105.0,57.0,400.0,51176,1061,12955
경북 의성군,63657,50944,29156.0,7908.0,11313.0,446.0,168.0,106.0,554.0,49651,1293,12713
경북 청송군,27271,21871,11546.0,3831.0,5123.0,259.0,202.0,56.0,273.0,21290,581,5400
경북 영덕군,41662,32302,18600.0,3916.0,7909.0,245.0,72.0,65.0,394.0,31201,1101,9360
경북 영양군,18545,14528,6911.0,2552.0,4193.0,142.0,76.0,38.0,196.0,14108,420,4017
경북 봉화군,34954,27154,12924.0,3427.0,8818.0,346.0,230.0,97.0,421.0,26263,891,7800
경북 울진군,50369,39339,20247.0,5946.0,10295.0,529.0,381.0,124.0,575.0,38097,1242,11030
경남 마산시회원구,143920,114765,67783.0,11437.0,31688.0,1967.0,115.0,96.0,185.0,113271,1494,29155
경남 창원시갑,167012,135166,69604.0,16575.0,42952.0,3744.0,153.0,132.0,228.0,133388,1778,31846
경남 창원시을,151573,127176,66247.0,19397.0,35252.0,4823.0,125.0,78.0,119.0,126041,1135,24397
경남 마산시합포구,149683,119188,75966.0,10714.0,28320.0,1700.0,135.0,101.0,372.0,117308,1880,30495
경남 진주시갑,107580,87625,58241.0,7259.0,18809.0,1227.0,115.0,146.0,298.0,86095,1530,19955
경남 진주시을,122775,99644,63388.0,8611.0,23567.0,1407.0,181.0,131.0,379.0,97664,1980,23131
경남 진해시,92003,76711,44320.0,9168.0,21025.0,943.0,98.0,60.0,178.0,75792,919,15292
경남 통영시,96697,74360,38323.0,4921.0,28214.0,554.0,191.0,129.0,452.0,72784,1576,22337
경남 고성군,50569,39082,19530.0,3500.0,14047.0,414.0,146.0,62.0,360.0,38059,1023,11487
경남 사천시,86263,69073,39884.0,6245.0,19911.0,748.0,147.0,95.0,423.0,67453,1620,17190
경남 김해시,200285,159279,69888.0,21719.0,62974.0,1499.0,247.0,165.0,372.0,156864,2415,41006
경남 의령군,29063,23113,11866.0,2064.0,7498.0,194.0,120.0,48.0,326.0,22116,997,5950
경남 함안군,49495,39726,20539.0,3677.0,13498.0,459.0,93.0,73.0,289.0,38628,1098,9769
경남 창녕군,58133,45794,24308.0,5147.0,13846.0,429.0,123.0,75.0,502.0,44430,1364,12339
경남 밀양시,93482,73508,40788.0,7283.0,22427.0,623.0,181.0,103.0,471.0,71876,1632,19974
경남 양산시,115115,91461,40989.0,12207.0,35020.0,1422.0,112.0,86.0,166.0,90002,1459,23654
경남 거제시,108594,87040,35427.0,9923.0,35735.0,3428.0,189.0,112.0,496.0,85310,1730,21554
경남 하동군,47075,38419,19730.0,4358.0,11939.0,309.0,146.0,93.0,421.0,36996,1423,8656
경남 남해군,49245,38918,20479.0,3724.0,12333.0,463.0,110.0,59.0,337.0,37505,1413,10327
경남 함양군,36834,29811,15863.0,3335.0,8829.0,229.0,143.0,94.0,359.0,28852,959,7023
경남 산청군,34678,27775,15852.0,2768.0,7147.0,477.0,105.0,61.0,344.0,26754,1021,6903
경남 거창군,52615,43293,25141.0,3978.0,11827.0,349.0,106.0,62.0,375.0,41838,1455,9322
경남 합천군,51347,40657,24652.0,4092.0,9011.0,415.0,134.0,89.0,595.0,38988,1669,10690
제주 제주시,175309,135454,53153.0,53254.0,24317.0,2085.0,156.0,258.0,290.0,133513,1941,39855
제주 북제주군,71558,54622,18519.0,20105.0,12921.0,701.0,166.0,227.0,439.0,53078,1544,16936
제주 서귀포시,58547,45135,14768.0,20392.0,8288.0,542.0,78.0,120.0,192.0,44380,755,13412
제주 남제주군,56266,43788,13663.0,17258.0,10488.0,528.0,151.0,194.0,324.0,42606,1182,12478
