지역,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,기본소득당 오준호,국가혁명당 허경영,노동당 이백윤,새누리당 옥은호,신자유민주연합 김경재,우리공화당 조원진,진보당 김재연,통일한국당 이경희,한류연합당 김민찬
전남 화순군,39327,4389,475,20,268,19,7,17,8,128,23,93
전남 장흥군,23565,2555,301,14,159,11,8,6,7,88,14,91
전남 강진군,21064,3010,298,24,141,15,5,10,6,43,17,53
전남 완도군,31062,3085,347,14,200,11,4,16,6,64,20,115
전남 해남군,42071,4690,510,33,288,28,5,9,15,96,27,126
전남 진도군,18692,2313,219,17,141,15,1,8,15,32,8,69
전남 영암군,31909,4092,521,27,269,14,4,7,10,40,17,74
전남 무안군,52983,6624,808,29,363,21,13,7,19,63,23,106
전남 영광군,30855,4056,475,22,221,16,5,17,10,89,34,142
전남 함평군,20467,2052,259,16,118,12,2,9,9,37,17,91
전남 신안군,25583,2742,272,24,145,18,5,6,18,28,17,98
경북 포항시북구,45053,130458,3911,73,1539,54,30,57,182,128,73,48
경북 포항시남구,38517,106712,3250,72,1690,32,19,44,121,140,81,62
경북 울릉군,1590,4815,109,3,66,0,3,2,7,3,1,6
경북 경주시,43031,123196,3380,72,1818,73,30,52,235,230,102,84
경북 김천시,22122,69272,1838,70,990,21,18,22,116,84,77,63
경북 안동시,30870,71881,1674,49,979,31,28,31,121,77,133,78
경북 구미시,67054,173950,5537,124,3207,57,45,60,327,173,99,110
경북 영주시,17937,50214,1153,27,571,15,14,18,66,72,77,43
경북 영천시,14332,53537,1119,33,782,17,27,21,120,92,59,64
경북 상주시,13660,51935,1097,43,617,29,17,27,100,85,101,57
경북 문경시,9912,37738,808,41,413,13,4,22,114,55,83,39
경북 예천군,9147,28320,653,26,286,17,14,15,74,39,87,37
경북 경산시,40267,128158,3533,103,1859,51,32,48,289,156,69,85
경북 청도군,5654,24036,489,17,266,12,5,15,50,42,54,27
경북 고령군,3852,17464,317,22,216,8,5,9,50,43,42,18
경북 성주군,5775,24975,472,24,278,14,7,16,55,42,49,23
경북 칠곡군,17603,50468,1369,44,1049,26,16,24,103,56,43,32
경북 군위군,2511,15032,216,14,155,4,2,11,30,26,46,22
경북 의성군,6431,31176,545,28,365,15,16,16,45,92,72,38
