지역,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일
대구 수성구을,92950.0,14597.0,12540.0,1301.0,123.0,96.0,258.0
대구 달서구갑,82942.0,13962.0,16467.0,1335.0,132.0,82.0,347.0
대구 달서구을,104787.0,18027.0,18898.0,1679.0,194.0,125.0,400.0
대구 달성군,47516.0,10591.0,11942.0,1364.0,121.0,97.0,485.0
인천 남구을,46376.0,39563.0,24565.0,1650.0,179.0,194.0,130.0
인천 남동구을,35800.0,40714.0,23574.0,1464.0,153.0,185.0,116.0
인천 부평구을,43394.0,49372.0,24227.0,2210.0,170.0,194.0,143.0
인천 중구,17334.0,13606.0,9191.0,496.0,73.0,69.0,99.0
인천 동구,19746.0,18516.0,13119.0,1129.0,101.0,113.0,106.0
인천 남구갑,45526.0,44705.0,27560.0,1857.0,178.0,238.0,149.0
인천 연수구,54248.0,45315.0,27903.0,2191.0,149.0,221.0,163.0
인천 남동구갑,37639.0,40375.0,23544.0,1508.0,160.0,195.0,123.0
인천 부평구갑,49585.0,62496.0,30809.0,2257.0,190.0,247.0,154.0
인천 계양구,51717.0,66388.0,35363.0,2407.0,176.0,233.0,173.0
인천 서구,50321.0,64547.0,41124.0,2826.0,236.0,305.0,202.0
인천 강화군,15252.0,10518.0,14182.0,297.0,121.0,128.0,232.0
인천 옹진군,3622.0,1724.0,2578.0,48.0,29.0,34.0,72.0
광주 동구,1776.0,84226.0,512.0,160.0,22.0,87.0,42.0
광주 서구,2297.0,136603.0,814.0,254.0,24.0,104.0,28.0
광주 남구,2501.0,142353.0,795.0,259.0,30.0,135.0,58.0
광주 북구갑,1989.0,121960.0,662.0,252.0,21.0,80.0,32.0
광주 북구을,2369.0,141592.0,946.0,292.0,22.0,91.0,45.0
광주 광산구,2362.0,127425.0,1452.0,261.0,35.0,163.0,68.0
대전 동구을,15819.0,28235.0,15915.0,669.0,117.0,121.0,85.0
대전 서구을,43295.0,53235.0,25191.0,1394.0,136.0,181.0,94.0
대전 동구갑,20259.0,35379.0,20151.0,797.0,158.0,197.0,159.0
대전 중구,40011.0,63096.0,32804.0,1460.0,196.0,267.0,186.0
대전 서구갑,28178.0,47865.0,26152.0,1070.0,140.0,199.0,139.0
대전 유성구,24295.0,31722.0,15937.0,1443.0,120.0,154.0,112.0
대전 대덕구,27409.0,47961.0,28224.0,1611.0,161.0,233.0,161.0
울산 남구을,41404.0,10610.0,18643.0,2897.0,84.0,51.0,113.0
울산 중구,67509.0,16597.0,31830.0,6402.0,143.0,100.0,192.0
울산 남구갑,53780.0,12216.0,21475.0,3041.0,82.0,54.0,119.0
울산 동구,42533.0,23075.0,26950.0,9924.0,101.0,89.0,126.0
울산 북구,23553.0,7993.0,14799.0,7590.0,78.0,48.0,133.0
울산 울주군,40219.0,10260.0,26127.0,2291.0,139.0,85.0,308.0
경기 수원시권선구,53339.0,58090.0,38588.0,1691.0,222.0,239.0,155.0
경기 수원시장안구,51151.0,52560.0,33114.0,1702.0,212.0,252.0,132.0
경기 성남시중원구,40779.0,73650.0,33343.0,1299.0,182.0,254.0,154.0
경기 성남시분당구,109195.0,75438.0,26549.0,2016.0,171.0,388.0,124.0
경기 안양시만안구,49009.0,59608.0,29081.0,1621.0,167.0,202.0,136.0
경기 안양시동안구을,37769.0,32969.0,13866.0,833.0,74.0,140.0,53.0
경기 부천시원미구을,43886.0,50207.0,21841.0,1407.0,104.0,178.0,94.0
경기 부천시오정구,29533.0,44742.0,21338.0,882.0,102.0,182.0,101.0
경기 부천시소사구,39644.0,49484.0,21754.0,1312.0,124.0,190.0,115.0
경기 고양시일산구,91210.0,78408.0,31083.0,2159.0,188.0,239.0,164.0
경기 수원시팔달구,47962.0,44680.0,29535.0,1145.0,191.0,173.0,143.0
경기 성남시수정구,39818.0,70909.0,30914.0,1362.0,188.0,265.0,151.0
경기 의정부시,63136.0,63019.0,35619.0,1518.0,257.0,218.0,224.0
경기 안양시동안구갑,37145.0,40781.0,16931.0,985.0,92.0,176.0,75.0
경기 부천시원미구갑,28239.0,42516.0,19342.0,988.0,96.0,151.0,94.0
경기 광명시갑,30068.0,44831.0,17697.0,865.0,95.0,153.0,84.0
경기 광명시을,35138.0,42570.0,16031.0,1208.0,96.0,137.0,117.0
경기 평택시갑,27470.0,33378.0,25211.0,1481.0,173.0,162.0,157.0
경기 평택시을,31407.0,36796.0,27389.0,2352.0,222.0,219.0,224.0
경기 동두천시,15813.0,13745.0,10545.0,394.0,80.0,64.0,106.0
경기 양주군,19097.0,18021.0,16300.0,412.0,136.0,114.0,199.0
경기 안산시갑,47570.0,64104.0,32727.0,1738.0,140.0,212.0,114.0
경기 안산시을,36185.0,58720.0,33547.0,1523.0,172.0,198.0,138.0
경기 과천시,18875.0,15252.0,5011.0,631.0,27.0,74.0,37.0
