지역,더불어민주당 문재인,자유한국당 홍준표,국민의당 안철수,바른정당 유승민,정의당 심상정,새누리당 조원진,경제애국당 오영국,국민대통합당 장성민,늘푸른한국당 이재오,민중연합당 김선동,한국국민당 이경희,홍익당 윤홍식,무소속 김민찬
대구 달서구,82726.0,165781.0,57956.0,45593.0,18805.0,1155.0,62.0,138.0,72.0,195.0,90.0,194.0,346.0
대구 달성군,31753.0,60032.0,21427.0,15964.0,7287.0,242.0,34.0,48.0,40.0,80.0,46.0,118.0,194.0
인천 중구,28030.0,16139.0,15405.0,4196.0,4837.0,122.0,14.0,59.0,22.0,54.0,19.0,27.0,64.0
인천 동구,16501.0,11446.0,10479.0,2484.0,3296.0,64.0,21.0,42.0,10.0,42.0,19.0,28.0,43.0
인천 남구,96338.0,60603.0,61034.0,15593.0,18179.0,373.0,57.0,254.0,44.0,142.0,82.0,93.0,221.0
인천 연수구,85853.0,41920.0,48166.0,15928.0,14622.0,303.0,32.0,231.0,40.0,105.0,55.0,67.0,137.0
인천 남동구,136132.0,66178.0,77693.0,21335.0,23230.0,470.0,59.0,267.0,80.0,251.0,97.0,89.0,322.0
인천 부평구,146859.0,66560.0,82590.0,21769.0,24630.0,501.0,72.0,263.0,64.0,222.0,107.0,103.0,325.0
인천 계양구,88890.0,37234.0,48622.0,13418.0,15790.0,270.0,39.0,188.0,41.0,193.0,73.0,57.0,203.0
인천 서구,132399.0,56236.0,72248.0,20860.0,22418.0,423.0,64.0,238.0,76.0,177.0,86.0,80.0,264.0
인천 강화군,12153.0,17041.0,9559.0,2233.0,2267.0,97.0,11.0,58.0,22.0,27.0,33.0,53.0,57.0
인천 옹진군,3935.0,5834.0,3092.0,875.0,656.0,23.0,5.0,18.0,11.0,17.0,23.0,28.0,45.0
광주 동구,37053.0,1308.0,23438.0,1372.0,2665.0,13.0,5.0,45.0,10.0,115.0,13.0,19.0,47.0
광주 서구,124183.0,3182.0,62218.0,4627.0,9247.0,20.0,17.0,198.0,32.0,450.0,20.0,45.0,116.0
광주 남구,85642.0,2521.0,47663.0,3085.0,6013.0,38.0,19.0,142.0,12.0,296.0,21.0,56.0,89.0
광주 북구,177850.0,4241.0,88501.0,6274.0,13206.0,48.0,24.0,157.0,23.0,622.0,31.0,87.0,172.0
광주 광산구,159119.0,3630.0,65402.0,5504.0,12588.0,33.0,46.0,113.0,26.0,782.0,51.0,57.0,190.0
대전 동구,57580.0,33015.0,34729.0,7746.0,9376.0,162.0,42.0,126.0,44.0,91.0,43.0,75.0,155.0
대전 중구,62115.0,37657.0,37504.0,8885.0,9795.0,239.0,34.0,119.0,54.0,100.0,51.0,78.0,134.0
대전 서구,133604.0,59593.0,70732.0,20091.0,21396.0,317.0,48.0,175.0,59.0,216.0,69.0,124.0,230.0
대전 유성구,103313.0,35445.0,47081.0,16145.0,14723.0,209.0,20.0,98.0,33.0,114.0,47.0,78.0,118.0
대전 대덕구,47933.0,25666.0,28723.0,6953.0,8379.0,142.0,24.0,102.0,44.0,90.0,46.0,51.0,121.0
울산 중구,56657.0,47625.0,26458.0,12399.0,12307.0,183.0,21.0,130.0,53.0,115.0,52.0,95.0,161.0
울산 남구,80662.0,63331.0,39040.0,18536.0,16078.0,259.0,29.0,128.0,66.0,146.0,36.0,103.0,237.0
울산 동구,44931.0,23701.0,19290.0,8337.0,11590.0,78.0,17.0,105.0,39.0,139.0,36.0,48.0,160.0
울산 북구,52058.0,26596.0,20115.0,10004.0,12916.0,146.0,20.0,85.0,31.0,137.0,48.0,58.0,164.0
울산 울주군,48486.0,42349.0,23617.0,11013.0,9296.0,163.0,41.0,127.0,51.0,104.0,48.0,107.0,204.0
세종 세종특별자치시,77767.0,23211.0,32010.0,9192.0,9353.0,153.0,34.0,88.0,42.0,126.0,50.0,76.0,135.0
경기 수원시장안구,81392.0,37143.0,43344.0,13774.0,13660.0,245.0,33.0,136.0,43.0,180.0,43.0,69.0,149.0
경기 수원시권선구,95263.0,42801.0,51061.0,15482.0,15573.0,273.0,43.0,175.0,60.0,195.0,69.0,77.0,206.0
경기 수원시팔달구,49814.0,27782.0,28228.0,8218.0,8315.0,172.0,20.0,94.0,27.0,105.0,36.0,53.0,109.0
경기 수원시영통구,105181.0,33354.0,46872.0,18468.0,15086.0,228.0,23.0,92.0,26.0,117.0,24.0,54.0,124.0
경기 성남시수정구,63867.0,28395.0,36752.0,9315.0,9649.0,201.0,27.0,120.0,22.0,253.0,48.0,64.0,129.0
경기 성남시중원구,62729.0,27896.0,36512.0,8502.0,9599.0,211.0,36.0,116.0,29.0,355.0,42.0,63.0,142.0
경기 성남시분당구,139853.0,71332.0,74040.0,30351.0,20415.0,544.0,22.0,96.0,53.0,206.0,35.0,99.0,143.0
경기 의정부시,110580.0,57027.0,65003.0,17254.0,18284.0,422.0,31.0,155.0,63.0,214.0,81.0,122.0,238.0
경기 안양시만안구,70454.0,35189.0,38671.0,10990.0,11275.0,257.0,23.0,149.0,32.0,109.0,59.0,55.0,129.0
경기 안양시동안구,101278.0,43072.0,51966.0,17577.0,15294.0,298.0,26.0,129.0,30.0,110.0,48.0,51.0,112.0
경기 부천시,239697.0,100544.0,128297.0,34085.0,36775.0,706.0,94.0,365.0,126.0,395.0,149.0,192.0,417.0
경기 광명시,97959.0,39081.0,51958.0,13835.0,14345.0,294.0,32.0,139.0,49.0,142.0,45.0,66.0,162.0
경기 평택시,104574.0,62827.0,64057.0,19321.0,20128.0,344.0,62.0,225.0,69.0,358.0,118.0,97.0,338.0
경기 양주시,46286.0,29739.0,28469.0,7602.0,7921.0,164.0,34.0,97.0,50.0,105.0,51.0,56.0,158.0
경기 동두천시,19444.0,15733.0,12808.0,3201.0,3662.0,86.0,11.0,50.0,18.0,51.0,21.0,34.0,74.0
경기 안산시상록구,98564.0,39723.0,55067.0,14307.0,16558.0,272.0,49.0,206.0,51.0,169.0,83.0,75.0,215.0
경기 안산시단원구,80771.0,33862.0,45779.0,11938.0,13251.0,206.0,31.0,149.0,48.0,137.0,76.0,68.0,192.0
경기 고양시덕양구,120063.0,55157.0,61581.0,18038.0,30094.0,409.0,37.0,143.0,134.0,194.0,66.0,87.0,172.0
경기 고양시일산동구,81622.0,34980.0,41166.0,13989.0,15308.0,268.0,26.0,87.0,43.0,86.0,24.0,54.0,105.0
경기 고양시일산서구,85919.0,35147.0,41563.0,13991.0,14764.0,265.0,23.0,80.0,42.0,88.0,23.0,57.0,105.0
경기 과천시,16528.0,9055.0,8736.0,3354.0,2814.0,72.0,8.0,14.0,7.0,17.0,9.0,19.0,29.0
경기 의왕시,43869.0,21218.0,23602.0,7575.0,6902.0,139.0,13.0,54.0,17.0,57.0,18.0,32.0,66.0
경기 구리시,51181.0,26113.0,28698.0,8167.0,8386.0,162.0,14.0,52.0,18.0,85.0,31.0,50.0,82.0
경기 남양주시,165079.0,86026.0,92048.0,25471.0,26319.0,584.0,67.0,213.0,73.0,210.0,102.0,139.0,306.0
경기 오산시,52358.0,21829.0,27201.0,7893.0,8415.0,117.0,19.0,66.0,36.0,82.0,30.0,35.0,120.0
경기 화성시,176940.0,69014.0,84967.0,26194.0,25910.0,401.0,58.0,284.0,81.0,267.0,118.0,141.0,345.0
경기 시흥시,103732.0,43248.0,58119.0,14846.0,17127.0,301.0,56.0,208.0,58.0,235.0,79.0,80.0,243.0
경기 군포시,82551.0,34784.0,41883.0,12884.0,12595.0,239.0,21.0,150.0,34.0,121.0,37.0,54.0,135.0
경기 하남시,57298.0,31793.0,30999.0,9680.0,8135.0,174.0,17.0,68.0,19.0,109.0,24.0,43.0,86.0
경기 파주시,107148.0,55347.0,54921.0,16819.0,20208.0,399.0,52.0,198.0,82.0,224.0,92.0,96.0,259.0
경기 여주시,20474.0,21581.0,14545.0,3936.0,4387.0,90.0,13.0,72.0,25.0,66.0,40.0,50.0,90.0
경기 이천시,44109.0,33301.0,26695.0,7913.0,8489.0,145.0,29.0,93.0,35.0,89.0,63.0,69.0,171.0
경기 용인시처인구,50423.0,33153.0,32027.0,8707.0,9227.0,152.0,32.0,80.0,44.0,98.0,57.0,59.0,164.0
경기 용인시수지구,95325.0,50229.0,47125.0,18555.0,13042.0,375.0,16.0,69.0,20.0,94.0,19.0,45.0,89.0
경기 용인시기흥구,116017.0,53405.0,55393.0,18992.0,16026.0,411.0,13.0,111.0,45.0,141.0,41.0,61.0,112.0
경기 안성시,39380.0,26693.0,25193.0,6427.0,7651.0,158.0,36.0,94.0,33.0,137.0,38.0,65.0,114.0
경기 김포시,93697.0,48490.0,51081.0,15614.0,14517.0,309.0,41.0,131.0,53.0,152.0,58.0,69.0,160.0
경기 광주시,80175.0,45030.0,46829.0,12629.0,12860.0,274.0,36.0,101.0,44.0,181.0,68.0,61.0,219.0
경기 포천시,27632.0,28030.0,22505.0,5781.0,5529.0,114.0,29.0,69.0,36.0,108.0,46.0,62.0,134.0
경기 연천군,8384.0,9557.0,6805.0,1901.0,1581.0,41.0,10.0,28.0,21.0,21.0,18.0,33.0,50.0
경기 양평군,21329.0,24800.0,15653.0,4216.0,4194.0,157.0,14.0,52.0,26.0,31.0,34.0,77.0,86.0
경기 가평군,10873.0,13865.0,9089.0,2231.0,2103.0,99.0,25.0,48.0,36.0,45.0,50.0,50.0,74.0
강원 춘천시,66874.0,43494.0,38684.0,12402.0,12758.0,251.0,27.0,104.0,62.0,103.0,60.0,110.0,187.0
강원 원주시,77495.0,50750.0,45776.0,13797.0,14406.0,319.0,47.0,157.0,44.0,198.0,82.0,109.0,215.0
강원 강릉시,41565.0,44421.0,26895.0,9690.0,8368.0,195.0,19.0,91.0,43.0,99.0,63.0,113.0,150.0
강원 동해시,17184.0,19009.0,11345.0,3917.0,3406.0,95.0,9.0,47.0,24.0,69.0,38.0,38.0,88.0
강원 삼척시,13496.0,15971.0,8185.0,2878.0,2898.0,52.0,13.0,38.0,21.0,41.0,42.0,77.0,86.0
강원 태백시,9557.0,10046.0,4971.0,1468.0,1736.0,30.0,8.0,24.0,10.0,28.0,12.0,35.0,27.0
강원 정선군,8270.0,8323.0,4489.0,1170.0,1215.0,32.0,15.0,22.0,7.0,35.0,19.0,46.0,64.0
강원 속초시,15045.0,13883.0,11031.0,3422.0,3143.0,73.0,9.0,28.0,14.0,23.0,20.0,33.0,52.0
강원 고성군,5664.0,6511.0,3964.0,1239.0,979.0,23.0,8.0,27.0,5.0,16.0,12.0,26.0,47.0
강원 양양군,5017.0,6687.0,3868.0,1044.0,954.0,37.0,12.0,22.0,14.0,14.0,18.0,22.0,24.0
강원 인제군,6574.0,6009.0,4759.0,1665.0,1311.0,32.0,13.0,23.0,13.0,21.0,28.0,24.0,69.0
강원 홍천군,13851.0,13549.0,10023.0,2879.0,2687.0,60.0,20.0,49.0,17.0,81.0,36.0,47.0,63.0
