지역,선거인수,투표수,더불어민주당 문재인,자유한국당 홍준표,국민의당 안철수,바른정당 유승민,정의당 심상정,새누리당 조원진,경제애국당 오영국,국민대통합당 장성민,늘푸른한국당 이재오,민중연합당 김선동,한국국민당 이경희,홍익당 윤홍식,무소속 김민찬,계,무효,기권
경북 고령군,29964.0,22396.0,3754.0,13248.0,2600.0,1523.0,839.0,55.0,13.0,12.0,10.0,30.0,19.0,61.0,45.0,22209.0,187.0,7568.0
경북 성주군,40284.0,30070.0,5409.0,16788.0,3586.0,2056.0,1714.0,60.0,14.0,24.0,15.0,33.0,31.0,83.0,57.0,29870.0,200.0,10214.0
경북 칠곡군,98543.0,72006.0,16872.0,31540.0,11340.0,7063.0,4327.0,137.0,22.0,36.0,20.0,45.0,17.0,71.0,111.0,71601.0,405.0,26537.0
경북 군위군,22560.0,17627.0,2251.0,11651.0,1939.0,1054.0,470.0,42.0,7.0,5.0,7.0,15.0,10.0,57.0,29.0,17537.0,90.0,4933.0
경북 의성군,49768.0,37855.0,5365.0,23790.0,4767.0,2184.0,1023.0,78.0,13.0,21.0,20.0,72.0,49.0,139.0,61.0,37582.0,273.0,11913.0
경북 청송군,23810.0,18418.0,3218.0,10669.0,2387.0,1180.0,605.0,37.0,5.0,14.0,29.0,20.0,23.0,90.0,25.0,18302.0,116.0,5392.0
경북 영양군,15705.0,12048.0,2281.0,6554.0,1701.0,697.0,438.0,20.0,6.0,14.0,145.0,3.0,12.0,57.0,21.0,11949.0,99.0,3657.0
경북 영덕군,34714.0,26125.0,3786.0,16314.0,3231.0,1513.0,807.0,46.0,8.0,14.0,11.0,18.0,33.0,82.0,45.0,25908.0,217.0,8589.0
경북 봉화군,29612.0,22947.0,4209.0,12536.0,3370.0,1423.0,934.0,45.0,9.0,29.0,9.0,29.0,31.0,108.0,51.0,22783.0,164.0,6665.0
경북 울진군,43754.0,32568.0,6972.0,16867.0,4476.0,2275.0,1434.0,38.0,10.0,31.0,8.0,34.0,37.0,106.0,57.0,32345.0,223.0,11186.0
경남 창원시의창구,207375.0,164047.0,60757.0,56887.0,22830.0,12134.0,9772.0,196.0,31.0,102.0,44.0,118.0,51.0,77.0,224.0,163223.0,824.0,43328.0
경남 창원시성산구,183547.0,153327.0,63717.0,42052.0,22923.0,12512.0,10826.0,152.0,17.0,55.0,31.0,116.0,41.0,49.0,156.0,152647.0,680.0,30220.0
경남 창원시마산합포구,153651.0,119281.0,35592.0,54488.0,14686.0,7491.0,5887.0,112.0,18.0,58.0,46.0,50.0,28.0,63.0,160.0,118679.0,602.0,34370.0
경남 창원시마산회원구,172306.0,136757.0,45014.0,56340.0,17744.0,9228.0,7132.0,127.0,23.0,73.0,45.0,67.0,42.0,67.0,190.0,136092.0,665.0,35549.0
경남 창원시진해구,146938.0,114779.0,41249.0,40049.0,17435.0,8732.0,6186.0,108.0,17.0,73.0,38.0,53.0,31.0,63.0,181.0,114215.0,564.0,32159.0
경남 진주시,281105.0,222813.0,73929.0,93751.0,26687.0,14735.0,11243.0,212.0,44.0,111.0,92.0,182.0,83.0,240.0,308.0,221617.0,1196.0,58292.0
경남 통영시,111279.0,82855.0,25477.0,36128.0,10738.0,5332.0,4075.0,104.0,25.0,59.0,26.0,42.0,55.0,134.0,142.0,82337.0,518.0,28424.0
경남 고성군,47369.0,34603.0,9848.0,16797.0,4104.0,1828.0,1459.0,51.0,13.0,19.0,13.0,21.0,39.0,75.0,71.0,34338.0,265.0,12766.0
경남 사천시,94377.0,71555.0,22370.0,32475.0,8350.0,4135.0,3267.0,62.0,15.0,34.0,21.0,56.0,48.0,110.0,123.0,71066.0,489.0,22822.0
경남 김해시,414018.0,318253.0,147972.0,82880.0,45126.0,21936.0,17441.0,291.0,52.0,158.0,79.0,157.0,83.0,123.0,387.0,316685.0,1568.0,95765.0
경남 밀양시,93568.0,70687.0,20842.0,32394.0,9073.0,4441.0,2940.0,116.0,16.0,41.0,26.0,47.0,53.0,111.0,102.0,70202.0,485.0,22881.0
경남 거제시,196936.0,150230.0,68291.0,38775.0,20359.0,10941.0,10256.0,167.0,28.0,85.0,46.0,83.0,49.0,102.0,212.0,149394.0,836.0,46706.0
경남 의령군,25302.0,19258.0,5115.0,10134.0,1984.0,820.0,690.0,29.0,5.0,24.0,8.0,21.0,42.0,97.0,75.0,19044.0,214.0,6044.0
경남 함안군,57493.0,43866.0,13597.0,19809.0,5399.0,2452.0,1986.0,43.0,17.0,18.0,18.0,34.0,31.0,65.0,86.0,43555.0,311.0,13627.0
경남 창녕군,55896.0,42878.0,10310.0,24464.0,3877.0,2013.0,1408.0,47.0,11.0,17.0,22.0,31.0,38.0,113.0,99.0,42450.0,428.0,13018.0
경남 양산시,256724.0,199835.0,83412.0,58811.0,30945.0,14055.0,10705.0,212.0,41.0,132.0,46.0,130.0,48.0,104.0,240.0,198881.0,954.0,56889.0
경남 하동군,43206.0,34324.0,11211.0,14864.0,4150.0,1792.0,1489.0,57.0,17.0,38.0,32.0,42.0,48.0,113.0,114.0,33967.0,357.0,8882.0
경남 남해군,40197.0,30208.0,8680.0,14166.0,3906.0,1627.0,1248.0,36.0,13.0,27.0,15.0,20.0,35.0,68.0,87.0,29928.0,280.0,9989.0
경남 함양군,34899.0,26640.0,7388.0,13008.0,3203.0,1315.0,1118.0,44.0,14.0,32.0,16.0,27.0,27.0,111.0,61.0,26364.0,276.0,8259.0
경남 산청군,32215.0,24513.0,6561.0,12544.0,2753.0,1196.0,935.0,41.0,6.0,21.0,19.0,21.0,34.0,91.0,73.0,24295.0,218.0,7702.0
경남 거창군,53345.0,41325.0,11256.0,19976.0,4923.0,2447.0,1923.0,46.0,12.0,37.0,22.0,48.0,54.0,105.0,100.0,40949.0,376.0,12020.0
