지역,민주자유당 김영삼,민주당 김대중,통일국민당 정주영,신정당 박찬종,대한정의당 이병호,무소속 김옥선 ,무소속 백기완
경기 미금시,14692.0,11210.0,9369.0,2688.0,64.0,143.0,443.0
경기 남양주군,27795.0,19024.0,18220.0,5096.0,173.0,313.0,749.0
경기 여주군,18634.0,12503.0,14922.0,3204.0,215.0,280.0,752.0
경기 평택군,20568.0,17546.0,17042.0,3799.0,172.0,327.0,631.0
경기 오산시,11655.0,8845.0,8226.0,2152.0,60.0,151.0,372.0
경기 화성군,36123.0,26255.0,25436.0,6309.0,286.0,557.0,1075.0
경기 파주군,41044.0,20891.0,21601.0,6277.0,263.0,443.0,1003.0
경기 고양시,49693.0,43370.0,32416.0,9660.0,222.0,491.0,1578.0
경기 하남시,17258.0,15888.0,12017.0,2794.0,95.0,171.0,463.0
경기 광주군,15272.0,11225.0,13080.0,2489.0,151.0,234.0,350.0
경기 포천군,29127.0,13844.0,16235.0,4277.0,257.0,373.0,774.0
경기 연천군,14049.0,7914.0,6653.0,2085.0,92.0,185.0,330.0
경기 양평군,17740.0,8356.0,11961.0,2851.0,262.0,337.0,520.0
경기 가평군,12598.0,5891.0,8804.0,1903.0,136.0,204.0,338.0
경기 이천군,27852.0,15266.0,27850.0,4601.0,248.0,368.0,868.0
경기 용인군,34577.0,25552.0,25043.0,6534.0,242.0,535.0,1100.0
경기 안성군,25018.0,16937.0,17368.0,4169.0,237.0,435.0,644.0
경기 김포군,21079.0,14938.0,18609.0,3760.0,163.0,299.0,609.0
경기 강화군,18203.0,8844.0,10776.0,2535.0,120.0,271.0,360.0
강원 춘천시,36945.0,15291.0,35166.0,8865.0,193.0,402.0,1199.0
강원 원주시,33822.0,15798.0,33280.0,7239.0,253.0,341.0,1070.0
강원 강릉시,31050.0,11153.0,28016.0,5925.0,162.0,275.0,993.0
강원 동해시,22316.0,6392.0,15426.0,3968.0,135.0,161.0,497.0
강원 태백시,21009.0,4986.0,8967.0,2902.0,79.0,186.0,587.0
강원 명주군,15739.0,5191.0,13025.0,2014.0,172.0,184.0,418.0
강원 양양군,7050.0,3067.0,6626.0,977.0,75.0,90.0,203.0
강원 삼척시,9355.0,2377.0,8212.0,1507.0,69.0,80.0,268.0
강원 삼척군,15735.0,3114.0,8707.0,1565.0,138.0,137.0,397.0
강원 홍천군,16984.0,6559.0,15393.0,2088.0,219.0,268.0,435.0
강원 춘천군,9635.0,3425.0,9509.0,1603.0,163.0,164.0,306.0
강원 양구군,5949.0,2412.0,4239.0,814.0,46.0,94.0,151.0
