지역,한나라당 이회창,새천년민주당 노무현,하나로국민연합 이한동,민주노동당 권영길,사회당 김영규,호국당 김길수
충북 옥천군,10834,18612,220,1825,74,209
충북 음성군,16665,22804,229,2473,80,188
충북 진천군,10583,16645,149,2020,38,136
충북 괴산군,15131,20026,233,2148,68,258
충남 천안시,82814,98520,711,12847,217,473
충남 공주시,25531,35380,420,2853,106,353
충남 보령시,22473,27951,383,2799,102,296
충남 아산시,33568,43168,363,7563,112,298
충남 금산군,10661,19166,177,1121,78,283
충남 연기군,14393,23241,240,1962,50,186
충남 논산시,26221,48456,523,3446,140,412
충남 부여군,14825,27674,322,2428,75,312
충남 서천군,12765,22028,240,1439,45,234
충남 홍성군,22782,20970,304,1923,58,251
충남 청양군,9476,10077,152,876,41,176
충남 예산군,37572,12965,152,1349,31,128
충남 서산시,26634,36292,431,4321,111,405
충남 태안군,12140,18157,216,1528,63,231
충남 당진군,23255,30486,339,3124,74,284
전북 전주시완산구,10580,165652,249,2056,89,271
전북 전주시덕진구,8862,138057,214,2302,65,234
전북 군산시,9729,128150,248,2340,69,350
전북 익산시,10761,155186,340,2609,94,419
전북 정읍시,3772,70652,210,941,69,479
전북 남원시,3267,51764,146,619,64,474
전북 김제시,3922,58933,185,733,53,323
전북 완주군,2859,43815,136,1040,51,337
전북 진안군,1359,15928,75,272,35,263
전북 무주군,1746,14097,62,271,16,188
전북 장수군,1122,14330,239,408,60,175
전북 임실군,1350,19236,80,268,34,370
전북 순창군,1159,17848,67,247,32,324
전북 고창군,2192,36477,142,372,43,594
전북 부안군,2654,35928,112,426,43,386
전남 목포시,3725,122517,162,1034,57,234
전남 여수시,7060,155802,287,2298,102,614
전남 순천시,5891,135391,239,1522,91,484
전남 나주시,2270,57903,191,575,55,380
전남 광양시,6871,62065,113,1415,32,210
전남 담양군,1328,30132,80,308,49,278
전남 장성군,1696,29344,93,259,33,233
전남 곡성군,1166,20901,76,343,18,272
전남 구례군,1061,17816,90,186,17,107
전남 고흥군,3225,50793,179,372,48,467
전남 보성군,1755,32523,119,283,39,280
전남 화순군,1645,41931,106,368,63,310
전남 장흥군,1420,27205,103,241,33,311
전남 강진군,1761,24650,104,289,29,170
전남 완도군,1470,34814,114,272,27,293
전남 해남군,2325,49256,166,417,65,381
전남 진도군,975,21318,92,169,32,221
전남 영암군,2122,33155,113,889,48,166
전남 무안군,1518,36244,113,273,35,254
전남 영광군,1620,35737,100,297,50,529
전남 함평군,917,24108,96,211,32,218
전남 신안군,1253,26901,94,194,33,295
경북 포항시북구,94867,26445,178,5498,110,156
경북 포항시남구,92745,30547,198,6862,98,206
경북 울릉군,4176,1254,11,116,5,17
경북 경주시,106346,30646,308,9268,137,235
경북 김천시,61683,14925,184,2408,77,150
경북 안동시,69462,20869,276,4350,121,234
경북 구미시,113392,37058,247,8988,88,227
경북 영주시,51660,13956,157,2697,87,169
경북 영천시,44091,14481,135,2200,58,112
경북 상주시,53037,12368,261,2033,75,170
경북 문경시,36121,8625,110,1319,40,125
경북 예천군,24713,6872,95,1126,40,118
경북 경산시,80763,22784,155,4219,69,112
경북 청도군,22489,5842,159,764,35,84
경북 고령군,15034,4505,58,646,24,55
경북 성주군,21669,5765,90,757,32,78
경북 군위군,13509,3688,46,603,15,71
경북 칠곡군,37026,12210,94,2524,31,82
경북 의성군,32017,9030,135,1683,54,120
경북 청송군,12984,5050,76,799,27,59
경북 영덕군,20455,6006,74,880,26,84
경북 영양군,8457,3455,49,560,17,47
경북 봉화군,16429,5196,123,1220,47,122
경북 울진군,23321,9781,113,1002,31,103
경남 창원시,153553,72089,260,23014,147,210
경남 마산시,165980,50773,265,9963,122,256
경남 진주시,134973,37308,234,7077,128,256
경남 진해시,51220,20837,105,3385,56,126
경남 통영시,49262,14274,173,1989,51,137
경남 고성군(경남),23550,7873,203,1091,35,86
경남 사천시,45517,14171,116,2269,50,96
경남 김해시,102524,72255,198,6665,106,214
경남 밀양시,45565,17583,153,2028,54,158
경남 거제시,51795,26285,176,8061,72,139
경남 의령군,14265,4469,69,710,33,60
경남 함안군,24924,8891,72,1506,29,72
경남 창녕군,27062,10813,108,1273,47,123
경남 양산시,61399,30998,150,4221,83,157
경남 하동군,21695,9812,116,1164,33,124
경남 남해군,22936,8494,92,1018,30,74
경남 함양군,17875,6605,83,744,38,101
경남 산청군,17011,4936,67,1306,30,50
경남 거창군,27147,8905,90,1247,49,89
경남 합천군,25311,7271,102,1122,31,101
제주 제주시,55892,73679,315,4609,128,250
제주 북제주군,20345,28501,168,1474,70,316
제주 서귀포시,15077,24026,118,1288,30,159
제주 남제주군,14430,22217,143,1248,60,256
