시도,구시군,읍면동명,투표구명,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬"
서울특별시,중구,,명동제2투,8,29,0,0,1,0,0,0,0,0,0,0
서울특별시,중구,,관내사전투표,960,865,41,1,6,0,0,0,1,2,0,0
서울특별시,중구,,필동제1투,217,334,15,0,4,0,0,2,2,0,0,0
서울특별시,중구,,필동제2투,219,351,17,0,7,0,0,0,1,0,0,0
서울특별시,중구,,관내사전투표,737,617,37,2,10,0,0,0,0,2,0,1
서울특별시,중구,,장충동제1투,282,428,19,0,8,0,0,0,2,0,0,0
서울특별시,중구,,장충동제2투,297,392,25,0,8,0,0,1,0,0,0,0
서울특별시,중구,,관내사전투표,292,274,8,0,1,0,0,0,0,1,0,0
서울특별시,중구,,광희동제1투,270,405,20,0,2,0,0,0,0,1,1,0
서울특별시,중구,,광희동제2투,366,710,37,0,10,0,0,0,1,0,0,0
서울특별시,중구,,관내사전투표,208,223,11,0,2,0,0,0,0,0,0,0
서울특별시,중구,,을지로동제1투,70,155,6,1,1,0,0,0,1,0,0,0
서울특별시,중구,,을지로동제2투,112,181,8,0,1,0,0,0,0,0,0,0
서울특별시,중구,,관내사전투표,1361,1092,61,2,12,0,0,0,1,2,1,0
서울특별시,중구,,신당동제1투,334,376,17,2,6,1,1,1,0,1,0,1
서울특별시,중구,,신당동제2투,332,536,26,1,6,0,0,0,0,0,1,0
서울특별시,중구,,신당동제3투,373,418,20,0,13,0,0,0,1,0,0,0
서울특별시,중구,,관내사전투표,1459,1114,60,5,11,1,0,0,2,2,0,0
서울특별시,중구,,다산동제1투,443,540,38,2,8,0,0,0,0,1,1,4
서울특별시,중구,,다산동제2투,555,653,47,2,11,0,0,0,2,0,0,1
서울특별시,중구,,다산동제3투,414,491,32,1,6,0,0,0,3,1,1,0
서울특별시,중구,,다산동제4투,479,593,34,0,9,0,0,0,0,2,0,1
서울특별시,중구,,관내사전투표,2163,2018,102,2,13,4,0,0,2,1,2,2
서울특별시,중구,,약수동제1투,253,357,22,1,3,0,0,0,0,0,0,0
서울특별시,중구,,약수동제2투,475,490,29,0,2,0,0,0,1,0,0,0
